Name,Creation Date,Type,Author,Version,Comments,Related to Documents (Blocking)
Clarification of Tasks / Milestone Plan,"September 26, 2025",Milestone/Sprint Plan,"Nouman Javaid, Muhammad Irtaza, Bilal Khalid",Final,,
MILESTONE PLAN,"September 25, 2025",Milestone/Sprint Plan,,"Final, clarifying",,
Admin Panel and UI Documentation,"August 15, 2025",Admin Panel,"Muhammad Irtaza, Nouman Javaid, Bilal Khalid, Muhammad Usman Khan, Menahil Baig",Final,,
Admin Panel Functional Requirements,"August 8, 2025",,"Muhammad Usman Khan, Bilal Khalid, Muhammad Irtaza, Nouman Javaid",clarifying,,
UI Journey & Interaction within “The Forge” Updated,"July 16, 2025",Discovery Conclusion,"Nouman Javaid, Bilal Khalid, Menahil Baig",Final,,
Clarification on Deeper_Tech_Brief,"July 14, 2025",,Nouman Javaid,clarifying,,
"Final Requirements, Timelines, and Cost","July 6, 2025",,Bilal Khalid,outdated,,
User Journey for Learning module Finalized,"July 6, 2025",Discovery Conclusion,"Bilal Khalid, Nouman Javaid, Menahil Baig",Final,,
Finalized User Journey with Meeting Clarifications,"July 2, 2025",,"Nouman Javaid, Bilal Khalid, Muhammad Irtaza, Muhammad Usman Khan",Final,,
Coach Claus Platform Development: Strategy & Requirements Brief,"July 2, 2025",,"Nouman Javaid, Bilal Khalid, Muhammad Irtaza",Internal,,
,,,,,,
,,,,Final,,
Change Requests,,Milestone/Sprint Plan,,Final,,
Design Figma link,,,,Final,,
Course Content 10 days,,,,,,
The User Journey: As Defined in the Project Briefing,,,"Nouman Javaid, Bilal Khalid",,,
Q/A,,,"Nouman Javaid, Bilal Khalid, Muhammad Irtaza, Hamza",,,
Glossary of Terms,,,,Final,,
Project Briefing Q&A: Answering Critical Questions,,,"Nouman Javaid, Bilal Khalid, Hamza",,,
The User Journey: As Defined in the Project Briefing,,,"Nouman Javaid, Bilal Khalid",,,