Name,Author,Comments,Creation Date,Related to Documents (Blocking),Type,Version
The User Journey: As Defined in the Project Briefing,"Nouman Javaid, Bilal Khalid",,,,,
Project Briefing Q&A: Answering Critical Questions,"Nouman Javaid, Bilal Khalid, Hamza",,,,,
Glossary of Terms,,,,,,Final
Q/A,"Nouman Javaid, Bilal Khalid, Muhammad Irtaza, Hamza",,,,,
The User Journey: As Defined in the Project Briefing,"Nouman Javaid, Bilal Khalid",,,,,
Coach Claus Platform Development: Strategy & Requirements Brief,"Nouman Javaid, Bilal Khalid, Muhammad Irtaza",,"July 2, 2025",,,Internal
Finalized User Journey with Meeting Clarifications,"Nouman Javaid, Bilal Khalid, Muhammad Irtaza, Muhammad Usman Khan",,"July 2, 2025",,,Final
User Journey for Learning module Finalized,"Bilal Khalid, Nouman Javaid, Menahil Baig",,"July 6, 2025",,Discovery Conclusion,Final
"Final Requirements, Timelines, and Cost",Bilal Khalid,,"July 6, 2025",,,outdated
Clarification on Deeper_Tech_Brief,Nouman Javaid,,"July 14, 2025",,,clarifying
UI Journey & Interaction within “The Forge” Updated,"Nouman Javaid, Bilal Khalid, Menahil Baig",,"July 16, 2025",,Discovery Conclusion,Final
Course Content 10 days,,,,,,
Admin Panel Functional Requirements,"Muhammad Usman Khan, Bilal Khalid, Muhammad Irtaza, Nouman Javaid",,"August 8, 2025",,,clarifying
Admin Panel and UI Documentation,"Muhammad Irtaza, Nouman Javaid, Bilal Khalid, Muhammad Usman Khan, Menahil Baig",,"August 15, 2025",,Admin Panel,Final
Design Figma link,,,,,,Final
MILESTONE PLAN,,,"September 25, 2025",,Milestone/Sprint Plan,"Final, clarifying"
Change Requests,,,,,Milestone/Sprint Plan,Final
Clarification of Tasks / Milestone Plan,"Nouman Javaid, Muhammad Irtaza, Bilal Khalid",,"September 26, 2025",,Milestone/Sprint Plan,Final
,,,,,,Final
,,,,,,